"binominal","F00679","F00727","F00709","state","state_source","synonym"
"Ratibida_pinnata",-0.82098055206983,4.02535169073515,-2.12026353620009,"AM","(Soudzilovskaia et al., 2020)","('Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata')"
"Heliopsis_helianthoides",-0.967584026261706,4.15888308335967,-1.96611285637283,"AM","(Brundrett and Tedersoo, 2018)","('Buphthalmum helianthoides',)"
"Liatris_aspera",-0.798507696217772,4.38202663467388,-2.52572864430826,"AM","(Maherali et. al. 2016)","('Lacinaria scariosa var. aspera', 'Lacinaria aspera')"
"Arnica_sororia",-1.41346002919266,4.34225660396333,-1.20397280432594,"AM","(Soudzilovskaia et al., 2020)","('Arnica fulgens var. sororia',)"
"Arnica_fulgens",-0.662714973439743,2.76517150003119,-1.12445233453333,"AM","(Maherali et. al. 2016)","('Arnica montana var. fulgens',)"
"Hymenoxys_richardsonii",-1.26443077336305,4.2353712200147,-1.46006051231644,"AM","(Soudzilovskaia et al., 2020)","('Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii')"
"Helianthus_agrestis",-0.650147445859933,5.40309710764984,-3.27890144040212,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_grosseserratus",-0.679039078907476,5.35836803304502,-3.32423634052603,"AM","(Soudzilovskaia et al., 2020)",""
"Helianthus_giganteus",-0.764041473633314,4.99527968394287,-2.89623116985954,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus angustifolius subsp. giganteus',)"
"Helianthus_maximiliani",-0.642372872202358,5.58199187122379,-3.33832177900938,"AM","(Maherali et. al. 2016)",""
"Helianthus_verticillatus",-0.607848875582798,5.42254651269494,-3.1821344364883,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_salicifolius",-0.908364709328631,5.50986303131536,-3.28564152118046,"AM","(Brundrett and Tedersoo, 2018)",""
"Pappobolus_microphyllus",-0.749788233021618,5.63818771158518,-3.33832177900938,"AM","(Brundrett and Tedersoo, 2018)","('Leighia microphylla', 'Helianthopsis microphylla', 'Viguiera microphylla', 'Helianthus microphyllus')"
"Helianthus_occidentalis",-0.781127368513582,5.69278893318134,-3.32423634052603,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_mollis",-0.792566275476877,5.65790349588915,-3.36774202902084,"AM","(Soudzilovskaia et al., 2020)",""
"Helianthus_silphioides",-0.612814582252792,5.45375281076964,-3.25617025336374,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_atrorubens",-0.641609783967762,5.60285655606624,-3.41124771751566,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_longifolius",-0.764207867964082,5.85235937735577,-3.48541563322502,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_angustifolius",-0.600742627587319,5.7815912075156,-3.48469801543799,"AM","(Brundrett and Tedersoo, 2018)","('Discomela angustifolius',)"
"Helianthus_floridanus",-0.407037906347625,5.50378369344891,-3.37537576508624,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_petiolaris",-0.798782308458641,5.69424011679468,-3.45890280741782,"AM","(Maherali et. al. 2016)","('Helianthus annuus subsp. petiolaris',)"
"Helianthus_neglectus",-0.934762385992995,5.59667123498659,-3.50711376174633,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_niveus",-0.558379252760254,5.54934842134914,-3.07911388249304,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. niveus', 'Encelia nivea')"
"Helianthus_praecox",-0.829298642570532,5.94884406127134,-3.38139475436598,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus debilis subsp. praecox', 'Helianthus cucumerifolius var. praecox')"
"Helianthus_debilis",-0.811642064520224,5.77424093830476,-3.38139475436598,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. debilis',)"
"Helianthus_argophyllus",-0.774418028799632,5.63729343575875,-3.44201937618241,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. argophyllus',)"
"Helianthus_annuus",-0.547573757128929,5.49276766030634,-3.39395105278352,"AM","(Maherali et. al. 2016)",""
"Helianthus_cusickii",-0.516566805903487,5.17590324200081,-3.36690098592935,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_pauciflorus",-1.02165124753198,3.95124371858143,-1.66073120682165,"AM","(Soudzilovskaia et al., 2020)",""
"Helianthus_radula",-0.571009358123225,5.5611762974825,-3.22169626481324,"AM","(Brundrett and Tedersoo, 2018)","('Centrocarpha radula', 'Helianthus atrorubens subsp. radula', 'Rudbeckia radula')"
"Helianthus_porteri",-0.77845272773806,5.97218626227116,-3.39973393222839,"AM","(Brundrett and Tedersoo, 2018)","('Gymnolomia porteri', 'Rudbeckia porteri')"
"Helianthus_carnosus",-0.477902135592788,5.59729651153176,-3.44332400928946,"AM","(Brundrett and Tedersoo, 2018)",""
"Helianthus_heterophyllus",-0.461445878110265,5.60312712188942,-3.5592381551489,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus atrorubens subsp. heterophyllus',)"
"Ambrosia_artemisiifolia",-1.02165124753198,4.85981240436167,-2.52572864430826,"AM","(Maherali et. al. 2016)","('Ambrosia elatior var. artemisiifolia',)"
"Echinacea_serotina",-0.891598119283784,3.55534806148941,-1.51412773262978,"AM","(Brundrett and Tedersoo, 2018)",""
"Coreopsis_palmata",-1.10866262452161,4.72738781871234,-2.30258509299405,"AM","(Brundrett and Tedersoo, 2018)","('Anacis palmata',)"
"Helichrysum_italicum",-1.15090608338924,2.91169127715811,-0.0216367043877833,"AM","(Maherali et. al. 2016)","('Gnaphalium italicum',)"
"Helichrysum_stoechas",-0.709378193670363,1.8107268950628,-0.426635810312212,"AM","(Maherali et. al. 2016)","('Gnaphalium stoechas',)"
"Anaphalis_aureopunctata",-1.98813938327305,6.1720241358809,-1.91171878401292,"AM","(Soudzilovskaia et al., 2020)",""
"Anaphalis_hancockii",-1.72204685681676,5.76787698692392,-2.07301064827262,"AM","FRED4",""
"Antennaria_parvifolia",-1.05110866602414,3.80529693426811,-1.38462908046972,"AM","FRED4","('Antennaria dioica var. parvifolia',)"
"Antennaria_neglecta",-1.29116601602831,4.82618325904432,-1.83649536306945,"AM","(Soudzilovskaia et al., 2020)",""
"Inula_conyza",-1.09661428600544,5.28826703069454,-2.60369018577797,"AM","FRED4",""
"Xanthisma_spinulosum",-1.15106414867053,4.75115187600315,-2.23804656873148,"AM","(Soudzilovskaia et al., 2020)","('Dieteria spinulosa', 'Sideranthus spinulosus', 'Haplopappus spinulosus', 'Amellus spinulosus')"
"Symphyotrichum_oolentangiense",-1.04982212449868,4.46590811865458,-2.12026353620009,"AM","(Brundrett and Tedersoo, 2018)","('Aster oolentangiensis',)"
"Symphyotrichum_falcatum",-1.16738375609532,4.13519143659285,-1.44840577566507,"AM","FRED4","('Aster falcatus', 'Virgulus falcatus', 'Lasallea falcata')"
"Symphyotrichum_ciliolatum",-1.74068619904405,4.71076309414069,-1.00866405297291,"AM","(Brundrett and Tedersoo, 2018)","('Aster ciliolatus', 'Aster lindleyanus var. ciliolatus')"
"Symphyotrichum_puniceum",-1.27296567581289,4.95582705760126,-2.12026353620009,"AM","(Soudzilovskaia et al., 2020)","('Aster puniceus',)"
"Symphyotrichum_laeve",-1.12961914424534,4.00782782292664,-1.37416569219361,"AM","(Soudzilovskaia et al., 2020)","('Aster laevis',)"
"Symphyotrichum_novae-angliae",-0.776528789498996,3.95124371858143,-2.12026353620009,"AM","(Soudzilovskaia et al., 2020)","('Aster spurius var. novae-angliae', 'Lasallea novae-angliae', 'Virgulus novae-angliae', 'Aster novae-angliae')"
"Symphyotrichum_ericoides",-1.14611940046995,4.395782537504,-1.88446108039374,"AM","(Maherali et. al. 2016)","('Aster ericoides', 'Lasallea ericoides', 'Virgulus ericoides')"
"Chrysopsis_villosa",-1.51640304646691,4.64999026646069,-1.37816423633219,"AM","(Soudzilovskaia et al., 2020)","('Heterotheca villosa',)"
"Solidago_ptarmicoides",-0.941608539858445,3.52636052461616,-1.42711635564015,"AM","(Brundrett and Tedersoo, 2018)","('Doellingeria ptarmicoides', 'Aster albus', 'Aster ptarmicoides', 'Chrysopsis alba', 'Diplopappus albus', 'Eucephalus albus', 'Heleastrum album', 'Inula alba', 'Oligoneuron album', 'Solidago asteroides', 'Unamia alba', 'Unamia ptarmicoides')"
"Solidago_nemoralis",-1.01348906607205,5.0636693637888,-2.90772160420406,"AM","(Maherali et. al. 2016)",""
"Solidago_decurrens",-1.39341968606248,5.31263315491084,-2.28683673196341,"AM","FRED4",""
"Solidago_speciosa",-0.967584026261706,3.8286413964891,-1.66073120682165,"AM","(Soudzilovskaia et al., 2020)","('Aster speciosus', 'Leioligo speciosa')"
"Solidago_rigida",-0.739849433039491,3.57438252243569,-1.54864974277516,"AM","(Maherali et. al. 2016)","('Leioligo rigida',)"
"Solidago_missouriensis",-1.1278866303424,4.60729495806029,-1.56938006900293,"AM","(Soudzilovskaia et al., 2020)","('Aster missouriensis',)"
"Gutierrezia_sarothrae",-1.32388310099849,4.43871541663598,-1.49165487677772,"AM","(Maherali et. al. 2016)","('Xanthocephalum sarothrae', 'Solidago sarothrae')"
"Erigeron_glabellus",-1.18471498881144,3.98110572821168,-1.29074292314793,"AM","(Brundrett and Tedersoo, 2018)","('Tessenia glabella',)"
"Erigeron_pumilus",-1.69472350671646,4.43738608281715,-1.20397280432594,"AM","(Brundrett and Tedersoo, 2018)","('Tessenia pumila', 'Fragmosa pumila', 'Erigeron hirsutus')"
"Erigeron_canadensis",-1.04982212449868,4.77912349311153,-2.40794560865187,"AM","FRED4","('Leptilon canadense', 'Marsea canadensis', 'Conyzella canadensis', 'Tessenia canadensis', 'Trimorpha canadensis', 'Conyza canadensis')"
"Aster_scaber",-1.55447635436013,5.38998820470224,-2.02814825009228,"AM","FRED4","('Cardiagyris scabra', 'Doellingeria scabra')"
"Aster_lanceolatus",-1.02165124753198,4.21950770517611,-1.89711998488588,"AM","(Soudzilovskaia et al., 2020)","('Symphyotrichum lanceolatum',)"
"Aster_tataricus",-1.62455155024415,5.69410244060289,-2.18480205733766,"AM","FRED4",""
"Olearia_avicenniaefolia",-0.7339691750802,2.98568193770049,-1.30933331998376,"AM","FRED4",""
"Olearia_rani",-0.627465174598423,3.75770815612953,-2.21808725983835,"AM","FRED4","('Brachyglottis rani', 'Aster rani')"
"Artemisia_igniaria",-1.78856457833154,5.3188690127693,-1.50180724701724,"AM","FRED4",""
"Artemisia_barrelieri",-0.856019113532587,1.6239199287813,-0.798939998535844,"AM","(Brundrett and Tedersoo, 2018)","('Seriphidium barrelieri',)"
"Artemisia_frigida",-1.18762361040097,4.06187592314334,-1.41045643967543,"AM","FRED4","('Absinthium frigidum',)"
"Artemisia_mongolica",-1.79516526236289,5.27643036558358,-1.43953887579495,"AM","FRED4","('Artemisia vulgaris var. mongolica',)"
"Artemisia_ludoviciana",-1.09118853218342,4.39775598846284,-1.77501960679643,"AM","FRED4","('Artemisia vulgaris var. ludoviciana', 'Artemisia vulgaris subsp. ludoviciana')"
"Artemisia_cana",-1.17118298150295,4.02391358608675,-1.34067210089227,"AM","(Soudzilovskaia et al., 2020)","('Seriphidium canum',)"
"Achillea_millefolium",-1.11860203229208,4.89763897751708,-2.39729591779314,"AM","(Soudzilovskaia et al., 2020)","('Chamaemelum millefolium', 'Alitubus millefolium', 'Santolina millefolium')"
"Crepis_foetida",-1.36257783450257,5.70711026474888,-2.63108915996608,"AM","(Maherali et. al. 2016)","('Hostia foetida', 'Wibelia foetida', 'Rhynchopappus foetidus', 'Anisoderis foetida', 'Arnoseris foetida', 'Barkhausia foetida', 'Berinia foetida', 'Picris foetida', 'Hieracium foetidum', 'Hieracioides foetida')"
"Crepis_tectorum",-1.07880966137193,4.77912349311153,-2.40794560865187,"AM","(Soudzilovskaia et al., 2020)","('Hieracioides tectorum', 'Hedypnois tectorum', 'Hieracium tectorum')"
"Taraxacum_campylodes",-1.30598999600576,5.27522506243755,-2.49696138256651,"AM","FRED4",""
"Picris_hieracioides",-1.32425897020044,5.29831736654804,-2.13707065451647,"AM","FRED4","('Crepis hieracioides',)"
"Nabalus_tatarinowii",-1.72372705883623,5.837122182327,-2.14843441030964,"AM","FRED4","('Prenanthes tatarinowii',)"
